sample,gene,r_pearson,r_spearman,n_spots
HCC22-088-P5-S2,CR2,-0.022030113585579703,-0.026768565873104277,3598
HCC22-088-P5-S2,PAX5,-0.007993629189735089,-0.0007867505513566576,3598
HCC22-088-P5-S2,SDC1,0.09360694898040131,0.10121174005177108,3598
HCC22-088-P5-S2,FCGR3A,-0.01072415997476042,-0.02923944266359318,3598
HCC22-088-P5-S2,ITGAX,0.008114663002793891,-0.021602040127493956,3598
HCC22-088-P5-S2,ITGAM,-0.009056513246317802,-0.007613672985451788,3598
HCC22-088-P5-S2,CCR7,-0.04726694252618546,-0.05865721558745251,3598
HCC22-088-P5-S2,CD27,-0.02387313160229257,-0.02573247515999456,3598
HCC22-088-P5-S2,CXCR5,0.006928253576804317,0.0076923281549089095,3598
HCC22-088-P5-S2_F_rep,CD3E,0.03598060070818588,0.03793741583840998,4343
HCC22-088-P5-S2_F_rep,CD4,0.006439784477284969,0.005679088442324175,4343
HCC22-088-P5-S2_F_rep,CD8A,0.016085244325753544,0.017544247364389493,4343
HCC22-088-P5-S2_F_rep,CD68,0.08649739715231045,0.08753360527054846,4343
HCC22-088-P5-S2_F_rep,CD14,0.046490122290359495,0.03024765995383102,4343
HCC22-088-P5-S2_F_rep,CD19,0.0006019906654898116,0.0019151740685955303,4343
HCC22-088-P5-S2_F_rep,MS4A1,-0.013454392960408984,-0.01755870799045184,4343
HCC22-088-P5-S2_F_rep,EPCAM,0.016954462937239696,0.029447300138366894,4343
HCC22-088-P5-S2_F_rep,PECAM1,0.05189297602421355,0.05504395364876071,4343
HCC22-088-P5-S2_F_rep,VIM,0.08319163141809402,0.28319201512257314,4343
HCC22-088-P5-S2_F_rep,KRT5,0.0004603226923146639,-0.0004977393114744416,4343
HCC22-088-P5-S2_F_rep,PCNA,0.14035452601297593,0.14735130669052374,4343
HCC22-088-P5-S2_F_rep,CD274,-0.007603891668886311,-0.0027988886715296546,4343
HCC22-088-P5-S2_F_rep,PDCD1,0.004935187454408894,0.003801231274265223,4343
HCC22-088-P5-S2_F_rep,ACTA2,0.24343760624217853,0.25100232498822467,4343
HCC22-088-P5-S2_F_rep,BCL2,0.0766523158463349,0.08441683332705995,4343
HCC22-088-P5-S2_F_rep,CD163,0.08706143974600755,0.07394876820158074,4343
HCC22-088-P5-S2_F_rep,CR2,-0.022725472794975964,-0.008977679402334049,4343
HCC22-088-P5-S2_F_rep,PAX5,-0.014723110071743623,-0.0107673381760469,4343
HCC22-088-P5-S2_F_rep,SDC1,0.03332589642591213,0.027494432605329158,4343
HCC22-088-P5-S2_F_rep,FCGR3A,0.04956348139893402,0.04823486779578819,4343
HCC22-088-P5-S2_F_rep,ITGAX,0.018396130750939245,0.01623386223042921,4343
HCC22-088-P5-S2_F_rep,ITGAM,-0.0056716080014437,-0.011464068170204093,4343
HCC22-088-P5-S2_F_rep,CCR7,-0.009407580329727236,-0.01372431605451673,4343
HCC22-088-P5-S2_F_rep,CD27,-0.005907845741571467,-0.007443438773387865,4343
